Time, Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Calculated load value (%), Engine coolant temperature (F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 2 (%), Long term fuel % trim - Bank 2 (%), Fuel rail pressure (gauge) (PSI), Intake manifold absolute pressure (PSI), Engine RPM (RPM), Ignition timing advance for #1 cylinder, Intake air temperature (F), Mass air flow rate (lb/min), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), Short term fuel trim (Bank 1  Sensor 1) (%), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%), O2 voltage (Bank 1  Sensor 3) (V), Short term fuel trim (Bank 1  Sensor 3) (%), O2 voltage (Bank 1  Sensor 4) (V), Short term fuel trim (Bank 1  Sensor 4) (%), O2 voltage (Bank 2  Sensor 1) (V), Short term fuel trim (Bank 2  Sensor 1) (%), O2 voltage (Bank 2  Sensor 2) (V), Short term fuel trim (Bank 2  Sensor 2) (%), O2 voltage (Bank 2  Sensor 3) (V), Short term fuel trim (Bank 2  Sensor 3) (%), O2 voltage (Bank 2  Sensor 4) (V), Short term fuel trim (Bank 2  Sensor 4) (%), Time since engine start (sec), Distance traveled while MIL is activated (miles), Fuel rail pressure relative to manifold vacuum (PSI), Fuel rail pressure (PSI), O2 sensor 1 lambda, O2 sensor 1 voltage wide range (V), O2 sensor 2 lambda, O2 sensor 2 voltage wide range (V), O2 sensor 3 lambda, O2 sensor 3 voltage wide range (V), O2 sensor 4 lambda, O2 sensor 4 voltage wide range (V), O2 sensor 5 lambda, O2 sensor 5 voltage wide range (V), O2 sensor 6 lambda, O2 sensor 6 voltage wide range (V), O2 sensor 7 lambda, O2 sensor 7 voltage wide range (V), O2 sensor 8 lambda, O2 sensor 8 voltage wide range (V), Commanded EGR (%), EGR error (%), Commanded evaporative purge (%), Fuel level input (%), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (miles), Evap system vapor pressure (PSI), Barometric pressure (PSI), O2 sensor 1 lambda wide range (current probe), O2 sensor 1 current wide range (mA), O2 sensor 2 lambda wide range (current probe), O2 sensor 2 current wide range (mA), O2 sensor 3 lambda wide range (current probe), O2 sensor 3 current wide range (mA), O2 sensor 4 lambda wide range (current probe), O2 sensor 4 current wide range (mA), O2 sensor 5 lambda wide range (current probe), O2 sensor 5 current wide range (mA), O2 sensor 6 lambda wide range (current probe), O2 sensor 6 current wide range (mA), O2 sensor 7 lambda wide range (current probe), O2 sensor 7 current wide range (mA), O2 sensor 8 lambda wide range (current probe), O2 sensor 8 current wide range (mA), Catalyst temperature (Bank 1 Sensor 1) (F), Catalyst temperature (Bank 2 Sensor 1) (F), Catalyst temperature (Bank 1 Sensor 2) (F), Catalyst temperature (Bank 2 Sensor 2) (F), Control module voltage (V), Absolute load value (%), Fuel/Air commanded equivalence ratio, Relative throttle position (%), Ambient air temperature (F), Absolute throttle position B (%), Absolute throttle position C (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Accelerator pedal position F (%), Commanded throttle actuator control (%), Engine run time run while MIL is activated (min), Engine run time since DTCs cleared (min), Alcohol fuel percentage (%), Absolute evap system vapor pressure (PSI), Evap system vapor pressure (PSI), Short term secondary oxygen sensor trim bank 1 (%), Short term secondary oxygen sensor trim bank 3 (%), Long term secondary oxygen sensor trim bank 1 (%), Long term secondary oxygen sensor trim bank 3 (%), Short term secondary oxygen sensor trim bank 2 (%), Short term secondary oxygen sensor trim bank 4 (%), Long term secondary oxygen sensor trim bank 2 (%), Long term secondary oxygen sensor trim bank 4 (%), Fuel rail pressure (absolute) (PSI), Relative accelerator pedal position (%), Hybrid battery pack remaining life (%), Engine oil temperature (F), Fuel injection timing (deg), Engine fuel rate (gal/hr), Input voltage read by the scan tool (V), Intake manifold absolute pressure (PSI), Mass air flow rate (lb/min), Boost (PSI), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Longitude, Latitude, Altitude (m), Bearing (deg), GPS Speed (m/s), GPS Accuracy (m)
01/20/2015 03:29:00.0116 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:00.5111 PM,0,0,0,0,23.13725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:01.0112 PM,0,0,0,0,23.13725,206.6,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:01.5114 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:02.0114 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:02.5117 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,7.5,138.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:03.0118 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,7.5,138.2,0,9.019608,0,0,0.7,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:03.5115 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,7.5,138.2,0,9.019608,0,0,0.7,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965875,-0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-0.9119915,-1.847848,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:04.0119 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,7.5,138.2,0,9.019608,0,0,0.7,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965875,-0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1.639109E-15,-1.329939,-94.77831,38.9123,290.7,0,0,3
01/20/2015 03:29:04.5121 PM,0,0,0,0,23.13725,206.6,7.8125,7.8125,0,0,0,3.335868,657.75,7.5,138.2,0,9.019608,0,0,0.7,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965875,-0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1.639109E-15,-1.329939,-94.77831,38.9123,290.7,0,0,3
